Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate
15,Joss-Ann Tit For Tat,2.34805555556,0.37277777777777776,15.0,0.5555555555555556,0.19027777777777777,0.18249999999999997,0.2874999999999999,0.3397222222222222
16,Win-Stay Lose-Shift,2.3266,0.5588,7.0,1.0,0.33540000000000003,0.22339999999999996,0.21979999999999997,0.22139999999999999
17,Joss-Ann Tit For Tat,2.31694444444,0.7422222222222222,0.0,1.0,0.5641666666666665,0.17805555555555552,0.09166666666666666,0.16611111111111113
18,Bully,2.3162,0.5016,11.0,0.0,0.16539999999999996,0.3362,0.3304,0.16799999999999995
19,Bully,2.3094,0.5032,10.0,0.0,0.16500000000000004,0.33820000000000006,0.3294,0.16740000000000002
20,Bully,2.3076,0.5038,11.0,0.0,0.16540000000000002,0.33840000000000003,0.3288000000000001,0.16740000000000002
21,Dual Joss-Ann Tit For Tat,2.27333333333,0.4988888888888889,11.0,0.7777777777777778,0.2522222222222223,0.24666666666666665,0.2538888888888889,0.2472222222222223
22,Dual Joss-Ann Tit For Tat,2.27,0.5002777777777778,9.0,0.16666666666666666,0.22750000000000004,0.2727777777777778,0.27194444444444443,0.2277777777777778
23,Alternator,2.2634,0.5,13.0,1.0,0.24779999999999996,0.25220000000000004,0.25499999999999995,0.24500000000000002
24,Joss-Ann Tit For Tat,2.25416666667,0.5086111111111111,9.0,0.7222222222222222,0.28611111111111115,0.2225,0.22611111111111112,0.2652777777777778
25,Alternator,2.245,0.5,12.0,1.0,0.2494,0.25060000000000004,0.24920000000000006,0.25079999999999997
26,Alternator,2.2208,0.5,11.0,1.0,0.24719999999999998,0.25279999999999997,0.24480000000000005,0.2552
27,Tit For Tat,2.1836,0.5264,0.0,1.0,0.3836,0.1428,0.1398,0.33380000000000004
28,Tit For Tat,2.1768,0.5204,0.0,1.0,0.3756,0.1448,0.14259999999999995,0.33699999999999997
29,Joss-Ann Tit For Tat,2.17361111111,0.31277777777777777,15.0,0.7222222222222222,0.1747222222222222,0.13805555555555554,0.24055555555555555,0.4466666666666667
30,Tit For Tat,2.1616,0.5142,0.0,1.0,0.3721999999999999,0.14200000000000002,0.13980000000000004,0.3460000000000001
31,Joss-Ann Tit For Tat,2.15,0.6119444444444444,5.0,0.7777777777777778,0.3413888888888889,0.2705555555555555,0.1844444444444444,0.2036111111111111
32,Joss-Ann Tit For Tat,2.14861111111,0.8213888888888888,0.0,1.0,0.5833333333333334,0.23805555555555552,0.054999999999999986,0.12361111111111109
33,Dual Joss-Ann Tit For Tat,2.03222222222,0.6233333333333333,5.0,0.7777777777777778,0.29555555555555557,0.3277777777777777,0.19222222222222224,0.18444444444444444
34,Joss-Ann Tit For Tat,1.97527777778,0.9066666666666666,0.0,1.0,0.5902777777777778,0.31638888888888883,0.027777777777777783,0.06555555555555555
35,Dual Joss-Ann Tit For Tat,1.84944444444,0.7594444444444445,4.0,0.6111111111111112,0.3788888888888889,0.3805555555555556,0.11805555555555555,0.1225
36,Dual Joss-Ann Tit For Tat,1.75,1.0,0.0,1.0,0.5833333333333334,0.4166666666666667,0.0,0.0
37,Cooperator,1.5186,1.0,0.0,1.0,0.5061999999999999,0.4938,0.0,0.0
38,Cooperator,1.5054,1.0,0.0,1.0,0.5018,0.4981999999999999,0.0,0.0
39,Cooperator,1.494,1.0,0.0,1.0,0.498,0.502,0.0,0.0
40,Dual Joss-Ann Tit For Tat,1.48055555556,0.7347222222222223,4.0,0.2777777777777778,0.1813888888888889,0.5533333333333333,0.16777777777777775,0.09749999999999999
41,Dual Joss-Ann Tit For Tat,1.41888888889,0.8052777777777778,4.0,0.2222222222222222,0.23583333333333334,0.5694444444444445,0.12916666666666662,0.06555555555555553
42,Dual Joss-Ann Tit For Tat,1.32722222222,0.9047222222222222,3.0,0.7222222222222222,0.3180555555555555,0.5866666666666667,0.06944444444444443,0.025833333333333337
